state_code,zip_code,city,name,is_acquired_numerical,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_acquired
CA,94404,San Mateo,Fortify Software,1,10/1/2002,,12/15/2005,12/15/2005,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,acquired
CA,94080,South San Francisco,iCurrent,1,1/1/2006,,8/1/2008,8/1/2008,2.5836,2.5836,2.0,2.0,5,1,3000000,1,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,acquired
MA,2210,Boston,AisleBuyer,1,1/1/2009,,11/23/2010,6/13/2011,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,acquired
TX,78731,Austin,Indeed,1,11/1/2004,,8/1/2005,8/1/2005,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,acquired
MA,2451,Waltham,Colubris Networks,1,1/1/2000,,3/8/2005,10/23/2006,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,acquired
CA,94103,San Francisco,Mashery,1,5/1/2006,,1/1/2007,7/23/2012,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,acquired
CA,94301,Palo Alto,Transparency Software,0,1/1/2004,1/1/2009,3/9/2005,7/1/2007,1.1863,3.4986,,,0,2,12050000,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,closed
CA,95128,Palo Alto,Viewdle,1,1/1/2006,,3/1/2008,10/5/2010,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,analytics,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,acquired
CA,92656,Aliso Viejo,Enclarity,1,2/1/2005,,3/10/2009,3/10/2009,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,consulting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,acquired
CA,94089,Sunnyvale,Virsto Software,1,7/1/2007,,6/26/2009,8/25/2011,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,acquired
MO,64106,Kansas City,Handmark,1,7/1/2000,,9/12/2005,9/7/2006,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,acquired
MA,1887,Wilmington,Viacor,0,12/1/1999,11/11/2011,9/12/2002,11/10/2010,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,closed
CA,94111,San Francisco,Carbonetworks,0,1/1/2005,7/28/2011,7/1/2008,7/1/2008,3.4986,3.4986,3.0,3.0,6,1,5000000,1,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,closed
WA,98033-6314,Kirkland,SchemaLogic,1,1/1/2001,,1/17/2005,4/20/2010,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,acquired
FL,33609,Tampa,Skyway Software,0,1/1/2001,10/1/2012,5/16/2007,5/16/2007,6.3726,6.3726,,,0,1,4000000,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,closed
MA,02111-1720,Boston,CardStar,1,12/1/2008,,3/30/2010,9/13/2011,1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,2030882,2,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,acquired
CA,94501,Alameda,Makani Power,1,1/1/2006,,8/23/2008,8/23/2008,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,acquired
WA,98011,Bothell,Myrio,0,12/1/1999,1/1/2012,1/1/2001,1/1/2001,1.0877,1.0877,,,5,1,20500000,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,closed
CO,80302,Boulder,Intela,1,2/2/2006,,1/18/2010,8/9/2012,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,acquired
CA,94403-1855,San Mateo,Sana Security,1,1/1/2000,,4/2/2007,4/2/2007,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,acquired
CA,94104,San Francisco,Sportgenic,1,9/1/2005,,1/1/2007,9/9/2008,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,acquired
CA,94105,San Francisco,Lolapps,1,1/1/2008,,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,acquired
CA,94087,Sunnyvale,Behavio,1,6/12/2012,,6/1/2012,6/1/2012,-0.0301,-0.0301,0.1369999999999999,0.1369999999999999,3,1,355000,1,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,acquired
FL,33626,Tampa,Infinity Box,1,1/1/2006,,1/1/2006,4/1/2006,0.0,0.2466,2.4164,5.3151,10,2,118000,3,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,acquired
CA,94103,San Francisco,adBrite,1,1/1/2003,2/1/2001,9/1/2004,5/1/2012,1.6685,9.337,7.3808,10.474,17,4,40400000,3,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,acquired
TX,75001,Dallas,Texert,0,1/1/2007,7/14/2008,10/21/2008,10/21/2008,1.8055,1.8055,,,1,1,3000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,closed
CA,94538,Fremont,Mendocino Software,0,1/1/2003,2/7/2008,9/12/2005,1/1/2007,2.6986,4.0027,1.0,1.0,2,2,19700000,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,closed
CA,95051,Santa Clara,QuikCycle,0,1/1/1998,1/1/2011,3/1/2007,3/12/2007,9.1671,9.1973,,,0,2,17800000,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,closed
CA,94107,San Francisco,Instagram,1,3/1/2010,,3/5/2010,4/5/2012,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,photo_video,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,acquired
NY,10004,New York,Motionbox,1,1/1/2006,,9/1/2006,1/14/2009,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,acquired
MA,2138,Cambridge,AccelGolf,0,8/1/2008,5/1/2013,1/1/2008,12/4/2009,-0.5836,1.3425,0.0,1.5479,4,7,457282,2,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,closed
CA,94105,San Francisco,MoPub,1,9/9/2010,,9/1/2010,9/20/2012,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,acquired
NJ,8540,Princeton,DNP Green Technology,0,1/1/2008,8/24/2012,1/17/2010,1/17/2010,2.0466,2.0466,,,2,1,12000000,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,closed
CO,80538,Loveland,Abound Solar,0,1/1/2007,11/1/2012,7/6/2010,12/15/2010,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,closed
CA,94043,Mountain View,Trovix,1,1/1/2002,,12/7/2005,9/6/2006,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,acquired
NY,10012,New York,Thumbplay,1,9/1/2004,,10/30/2006,4/21/2010,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,acquired
WV,25430,Kearneysville,Plethora Technology,0,1/1/2000,5/23/2009,6/9/2005,6/9/2005,5.4411,5.4411,,,1,1,1000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,closed
CA,90025,Los Angeles,DailyStrength,1,4/1/2006,,5/18/2007,5/18/2007,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,acquired
MI,48187,Canton,Danotek Motion Technologies,0,1/1/2001,5/1/2013,11/19/2008,8/30/2011,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,closed
CA,94041,Mountain View,Yub,0,1/1/2013,1/1/2005,11/19/2013,11/19/2013,0.8822,0.8822,,,7,1,12000000,0,ecommerce,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,closed
WA,98004,Bellevue,SNAPin Software,1,1/1/2003,,7/11/2005,2/7/2006,2.526,3.1041,3.0027,9.126,5,2,22300000,2,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,acquired
CA,95054,Santa Clara,Azuro,1,1/1/2002,,1/1/2006,11/13/2009,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,acquired
DC,20007,Washington,ARPU,0,5/1/2005,5/4/2010,7/1/2006,12/29/2009,1.1671,4.6658,,,1,3,15564591,0,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,closed
CA,94105,San Francisco,BookFresh,1,1/1/2007,,7/28/2009,7/28/2009,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,acquired
CA,94110,San Francisco,Singly,1,12/21/2010,,2/1/2011,4/23/2012,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,analytics,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,acquired
NY,10173,New York,TxVia,1,1/1/2006,,10/1/2007,10/26/2010,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,acquired
CA,94043,Mountain View,Blue Vector Systems,0,1/1/2002,8/31/2010,9/21/2005,9/21/2005,3.7233,3.7233,,,1,1,4000000,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,closed
IL,60606,Chicago,Open Kernel Labs,1,1/1/2006,,9/13/2007,7/6/2012,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,acquired
NJ,8873,Somerset,Elanti Systems,0,1/1/2007,2/11/2012,5/29/2008,5/29/2008,1.4082,1.4082,0.0,0.0,1,1,5500000,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,closed
CA,94105,San Francisco,Astrid,1,1/1/2008,,4/13/2012,4/13/2012,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,social,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,acquired
CA,94710,Berkeley,Nordic Windpower,0,1/1/2007,4/10/2013,10/2/2007,1/5/2010,0.7507,3.0137,,,3,3,54000000,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,closed
GA,30009,Alpharetta,Visiprise,0,1/1/1985,5/3/2009,10/17/2005,10/17/2005,20.8055,20.8055,,,2,1,32000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,closed
WA,98104,Seattle,Hubspan,1,1/1/2000,,10/14/2005,10/14/2005,5.789,5.789,,,1,1,13000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,acquired
WA,98004,Bellevue,iConclude,1,1/1/2005,,2/1/2005,4/10/2006,0.0849,1.2712,,,5,3,12500000,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,acquired
CA,95128,San Jose,41st Parameter,1,1/1/2004,,5/8/2006,4/11/2012,2.3507,8.2822,1.0027,8.2849,16,4,38064570,2,security,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,acquired
CA,94110,San Francisco,Aardvark,1,7/1/2007,9/1/2011,1/1/2007,10/1/2008,-0.4959,1.2548,2.1726,4.6,21,2,6000000,2,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,acquired
VA,22902,Charlottesville,Hotelicopter,0,6/1/2006,8/1/2012,11/17/2008,3/31/2011,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,closed
VA,20166,Dulles,Anystream,1,1/1/2000,,1/1/2000,2/7/2007,0.0,7.1068,6.0055,10.9041,9,3,59000000,3,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,acquired
IL,60607,Chicago,CakeStyle,0,8/1/2011,8/1/2013,8/13/2012,8/13/2012,1.0356,1.0356,0.0,1.0356,2,1,1000000,2,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,closed
CA,94110,San Francisco,Fluther,1,1/1/2007,,9/21/2009,9/21/2009,2.7233,2.7233,0.9151,6.3096,5,1,600000,3,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,acquired
CT,6002,Bloomfield,Pocket Communications Northeast,0,1/1/2006,1/1/2012,11/1/2008,2/20/2009,2.8356,3.1397,3.3781,3.7753,0,2,125000000,2,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,closed
CA,60401,Santa Monica,Goodreads,1,1/15/2007,,11/1/2007,12/9/2009,0.7945,2.9014,3.0493,6.5233,11,2,2750000,3,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,acquired
CA,95054,Santa Clara,Woven Systems,1,1/1/2003,,12/1/2005,9/25/2007,2.9178,4.7342,,,1,2,30000000,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,acquired
CA,95035-6261,Milpitas,Kolorific,0,1/1/2003,7/7/2012,1/5/2007,1/5/2007,4.0137,4.0137,,,0,1,7000000,0,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,closed
CA,94025,Menlo Park,Krugle,1,1/1/2006,,5/31/2006,5/31/2006,0.411,0.411,0.0,2.5342,10,1,6100000,2,search,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,acquired
CA,92101,San Diego,Flud,0,10/1/2010,8/8/2013,4/13/2011,9/1/2012,0.5315,1.9205,2.2548,2.9781,12,3,2100000,2,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,closed
CA,94103,San Francisco,Chomp,1,9/9/2009,,11/1/2009,3/11/2010,0.1452,0.5014,0.4959,3.011,10,2,2565000,3,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,acquired
CA,94010,Burlingame,Origen Therapeutics,0,1/1/1997,8/3/2012,10/3/2007,10/3/2007,10.7589,10.7589,,,0,1,2000000,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,closed
